Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
9119,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261746,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9120,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261742,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9121,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261743,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9122,Jharkhand,Construction of public toilets and bathrooms,WS/MP18262/2026-2027/261770,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,302400
9123,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261740,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9124,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261761,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9125,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261759,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9126,Jharkhand,Construction of rooms and halls in school and colleges,WS/MP18262/2026-2027/261768,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,1123950
9127,Jharkhand,Construction of rooms and halls in school and colleges,WS/MP18262/2026-2027/261738,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,1004925
9128,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261748,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,429300
9129,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261757,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9130,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261763,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9131,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261747,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9132,Jharkhand,Construction of public toilets and bathrooms,WS/MP18262/2026-2027/261772,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,302400
9133,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261773,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,490125
9134,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261744,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9135,Jharkhand,Construction of public toilets and bathrooms,WS/MP18262/2026-2027/261771,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,302400
9136,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261779,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9137,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261753,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,490125
9138,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261749,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,490125
9139,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261752,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,490125
9140,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP18262/2026-2027/261766,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,289050
9141,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261755,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9142,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261765,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,854925
9143,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261758,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9144,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261741,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,368550
9145,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261750,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,261750
9146,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261762,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,611700
9147,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261754,WEST SINGHBHUM(DEPUTY COMMISSIONER WEST SINGHBHUM_IDA),JOBA MAJHI,SINGHBHUM(ST),19-May-2026,ARJUN KUMAR BAURI,Payment Success,490125
9148,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261672,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9149,Jharkhand,Construction of buildings for community cultural activities,WS/MP18262/2026-2027/261673,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,1124025
9150,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261670,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9151,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261669,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9152,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261666,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9153,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261667,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,611700
9154,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261668,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9155,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18262/2026-2027/261671,SARAIKELA KHARSAWAN(Deputy Commissioner saraikela_IDA),JOBA MAJHI,SINGHBHUM(ST),08-Aug-2026,ARJUN KUMAR BAURI,Payment Success,368550
9156,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP18049/2025-2026/265757,BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA),TOKHAN SAHU,BILASPUR,10-Apr-2026,GRAM PANCHAYAT GAMJU S B M,Payment Success,500000
9157,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18112/2025-2026/188983,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),BALWANT BASWANT WANKHADE,AMRAVATI(SC),15-Apr-2026,SHIVCHARAN SHRIRAM RATHOD,Payment Success,973361
9158,Bihar,Construction of community centers and community halls,WS/MP18034/2025-2026/212419,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),CHIRAG PASWAN,HAJIPUR(SC),18-Apr-2026,TINKAJ ENTERPRISES Prop Tinkaj Kumar Singh,Payment Success,989945
9159,Punjab,Construction of community centers and community halls,WS/MP381/2025-2026/228053,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,13-Apr-2026,Randhir Singh,Payment Success,42420
9160,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18429/2026-2027/225932,NANDED(DISTRICT COLLECTOR NANDED_IDA),Ravindra Vasantrao Chavan,NANDED,10-Apr-2026,Narayan Ramrao Tamanna,Payment Success,998790
9161,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18429/2026-2027/227298,NANDED(DISTRICT COLLECTOR NANDED_IDA),Ravindra Vasantrao Chavan,NANDED,10-Apr-2026,Narayan Ramrao Tamanna,Payment Success,999238
9162,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Bhart kumar sharma,Payment Success,20000
9163,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Jagdish mali,Payment Success,9600
9164,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Kalu lal,Payment Success,9600
9165,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Kanchan devi,Payment Success,7125
9166,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Khatik mamta kumari,Payment Success,7125
9167,Tamil Nadu,Construction of community centers and community halls,WS/MP751/2026-2027/206202,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),S Venkatesan,MADURAI,25-Jun-2026,PAZHANIVELRAJAN GNANASURIYAN,Payment Success,999862
9168,Tamil Nadu,Construction of community centers and community halls,WS/MP751/2026-2027/210680,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),S Venkatesan,MADURAI,01-Jul-2026,PAZHANIVELRAJAN GNANASURIYAN,Payment Success,2265878
9169,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Meena devi,Payment Success,2850
9170,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Pappu lal keer,Payment Success,4845
9171,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Pawan,Payment Success,20000
9172,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Rajkumar,Payment Success,20000
9173,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Sangita khatik,Payment Success,7125
9174,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Sharda devi,Payment Success,7125
9175,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,sohan,Payment Success,20000
9176,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Uday lal purbiya,Payment Success,10400
9177,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Pushpa lal khinchi,Payment Success,3705
9178,Rajasthan,Construction of boundary walls of existing public and community buildings,WS/MP18162/2025-2026/259396,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),DAMODAR AGARWAL,BHILWARA,13-Apr-2026,Suresh purbiya,Payment Success,8000
9179,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235499,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),08-Apr-2026,GRAM PANCHAYAT MALGUWAN,Payment Success,103820
9180,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235575,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),11-Apr-2026,GRAM PANCHAYAT PIPRA MADORI,Payment Success,103820
9181,Andhra Pradesh,Construction of toilet blocks,WS/MP522/2025-2026/163125,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,15-Apr-2026,TANKALA RAVISANKAR GUPTA,Payment Success,327925
9182,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235585,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),08-Apr-2026,GRAM PANCHAYAT PIPRA BILARI,Payment Success,103820
9183,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235571,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),11-Apr-2026,GRAM PANCHAYAT TALMAU,Payment Success,103820
9184,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235502,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),11-Apr-2026,GRAM PANCHAYAT TILA,Payment Success,103820
9185,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235556,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),08-Apr-2026,GRAM PANCHAYAT AHAAR,Payment Success,103820
9186,Madhya Pradesh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP638/2025-2026/235568,TIKAMGARH(DISTRICT COLLECTOR TIKAMGARH_IDA),Virendra Kumar,TIKAMGARH(SC),08-Apr-2026,GRAM PANCHAYAT BANERA,Payment Success,103820
9187,Rajasthan,Construction of community centers and community halls,WS/MP719/2025-2026/230930,Beawar(DISTRICT COLLECTOR Beawar_IDA),Bhagirath Chaudhary,AJMER,09-Apr-2026,PAWAN ENTERPRISIS,Payment Success,398132
9188,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18116/2025-2026/241509,THANE(DISTRICT COLLECTOR THANE_IDA),BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,27-Apr-2026,Suraj Nandkumar Mogre,Payment Success,984512
9189,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP522/2024-2025/163120,SRIKAKULAM(District Collector Srikakulam_IDA),Kinjarapu Ram Mohan Naidu,SRIKAKULAM,09-Apr-2026,TALAGANA VASUDEV,Payment Success,442078
9190,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP490/2025-2026/241127,VARANASI(DISTRICT MAGISTRAE VARANASI_IDA),Shri Narendra Modi,VARANASI,12-Aug-2026,ISHITA TRADERS,Payment Success,359900
9191,Odisha,Construction of community centers and community halls,WS/MP18358/2025-2026/187860,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,14-Jul-2026,SARMISTA PANDA,Payment Success,200000
9192,Odisha,Construction of community centers and community halls,WS/MP18358/2025-2026/187823,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,10-Jul-2026,SARMISTA PANDA,Payment Success,300000
9193,Odisha,Construction of community centers and community halls,WS/MP18358/2025-2026/187825,GANJAM(DISTRICT COLLECTOR GANJAM_IDA),ANITA SUBHADARSHINI,ASKA,29-May-2026,SARMISTA PANDA,Payment Success,200000
9194,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18346/2025-2026/250558,RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA),RAHUL GANDHI,RAE BARELI,09-Apr-2026,MS Sarvajeet Singh,Payment Success,395963
9195,Maharashtra,Construction of community centers and community halls,WS/MP18113/2025-2026/226247,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,06-Apr-2026,SARPANCH GRAMSEVAK GRAMPANCHAYAT WAKAD TQ KANAND,Payment Success,1486882
9196,Rajasthan,Lighting of public spaces,WS/MP18163/2026-2027/272336,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),MURARI LAL MEENA,DAUSA(ST),19-Aug-2026,INF RAJ,Payment Success,495963
9197,Rajasthan,Lighting of public spaces,WS/MP18163/2025-2026/254373,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),MURARI LAL MEENA,DAUSA(ST),19-Jun-2026,INF RAJ,Payment Success,499963
9198,Tamil Nadu,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP18183/2025-2026/253717,THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA),MURASOLI S,THANJAVUR,06-Apr-2026,VENKATACHALAM,Payment Success,315606
9199,Rajasthan,Improvement of electricity distribution infrastructure,WS/MP18160/2025-2026/188547,BARMER(DISTRICT COLLECTOR BARMER_IDA),UMMEDA RAM BENIWAL,BARMER,22-May-2026,JDVVNL CHOHATAN,Payment Success,500000
9200,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP584/2025-2026/216514,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),Vinod Chavda,KACHCHH(SC),10-Apr-2026,Shabhrai Moti Juth Gram Panchayt,Payment Success,300000
9201,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP578/2025-2026/248739,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,11-Apr-2026,GRAM PANCHAYAT OCHCHHAN,Payment Success,298617
9202,Telangana,Construction of community centers and community halls,WS/MP770/2025-2026/245420,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Sanjay Kumar Bandi,KARIMNAGAR,13-Apr-2026,Gade Kishan,Payment Success,447034
9203,Telangana,Construction of common work sheds/ common covered sitting area,WS/MP761/2026-2027/220955,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,22-Apr-2026,Nagaraju Pandiri,Payment Success,268220
9204,Telangana,Construction of community centers and community halls,WS/MP761/2026-2027/220957,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,19-May-2026,Nagaraju Pandiri,Payment Success,255285
9205,Telangana,Construction of community centers and community halls,WS/MP761/2026-2027/191982,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,06-Apr-2026,Nagaraju Pandiri,Payment Success,267552
9206,Haryana,Construction of community centers and community halls,WS/MP18062/2025-2026/156114,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,18-May-2026,VIVEK HANS CONTRACTOR,Payment Success,1092422
9207,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,47200
9208,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,47200
9209,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,32173
9210,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,43188
9211,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,48508
9212,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,49497
9213,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,49704
9214,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,16692
9215,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188089,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,21-May-2026,Ranglar Private Limited,Payment Success,26526
9216,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,47584
9217,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,49109
9218,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,49531
9219,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,49088
9220,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,48852
9221,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,18776
9222,Haryana,Construction of additional rooms and halls in the existing public and community building,WS/MP18062/2025-2026/188088,JIND(DEPUTY COMMISSIONER JIND),JAI PARKASH,HISAR,19-May-2026,Ranglar Private Limited,Payment Success,16450
